cluster_spectral_eucl,school_type,n_rows,n_unique_users,dropout_point_rate,cluster_rate,rate_gap_vs_cluster,disparity_ratio_vs_cluster,support_note
0,Academic,3282,2193,0.5338208409506399,0.5360178970917227,-0.002197056141082787,0.9959011515231051,
0,Other,218,157,0.591743119266055,0.5360178970917227,0.0557252221743324,1.103961495458792,
0,Secondary,47,28,0.3829787234042553,0.5360178970917227,-0.15303917368746733,0.7144886868184562,low unique-user support
0,Unknown,568,355,0.5334507042253521,0.5360178970917227,-0.002567192866370527,0.9952106209880316,
0,Vocational,355,248,0.5464788732394367,0.5360178970917227,0.010460976147714018,1.0195160948999507,
1,Academic,708,634,0.4505649717514124,0.44339622641509435,0.007168745336318061,1.016167808630845,
1,Other,30,26,0.43333333333333335,0.44339622641509435,-0.010062893081761004,0.9773049645390071,low unique-user support
1,Unknown,112,91,0.36607142857142855,0.44339622641509435,-0.0773247978436658,0.8256079027355623,
1,Vocational,93,81,0.46236559139784944,0.44339622641509435,0.018969364982755088,1.0427819720887668,
2,Academic,462,448,0.47619047619047616,0.48599670510708404,-0.009806228916607873,0.979822437449556,
2,Other,32,32,0.625,0.48599670510708404,0.13900329489291596,1.2860169491525424,
2,Unknown,62,59,0.41935483870967744,0.48599670510708404,-0.0666418663974066,0.8628758884636414,
2,Vocational,49,48,0.5510204081632653,0.48599670510708404,0.06502370305618121,1.1337945347630576,
3,Academic,1105,898,0.41266968325791853,0.4171779141104294,-0.004508230852510897,0.9891935054564812,
3,Other,50,45,0.36,0.4171779141104294,-0.05717791411042944,0.8629411764705882,
3,Unknown,149,121,0.3288590604026846,0.4171779141104294,-0.08831885370774484,0.7882945124358469,
3,Vocational,157,127,0.554140127388535,0.4171779141104294,0.1369622132781056,1.3283064818284003,
