augmentation,classifier,best_threshold,val_f1_at_threshold,test_auc,test_accuracy,test_precision,test_recall,test_f1,tn,fp,fn,tp
cont_noise,LightGBM,0.4227272727272727,0.8305299136098178,0.8910640592133408,0.8157247592562801,0.7483518981586724,0.9348731541082923,0.8312781448592231,15741,6642,1376,19752
masking,LightGBM,0.43181818181818177,0.8299584210810519,0.8902782510199065,0.815609845786123,0.7495144891664446,0.9316073457023855,0.8306991073877904,15805,6578,1445,19683
baseline,LightGBM,0.43181818181818177,0.8295488295488296,0.890608997152478,0.8153110707637149,0.7492385013706976,0.9313706929193487,0.8304355165428764,15797,6586,1450,19678
mixup,LightGBM,0.43181818181818177,0.8296995014149037,0.8898364769551891,0.8148054514950243,0.7488007309830199,0.9308973873532753,0.8299784782883909,15785,6598,1460,19668
smote,LightGBM,0.43181818181818177,0.8281579089485338,0.8881989111692467,0.8125071820918848,0.7475946854001222,0.9267796289284362,0.8275993237531699,15772,6611,1547,19581
