set,model,n_features,test_roc_auc,test_f1,test_precision,test_recall,test_threshold
Baseline,LightGBM,14,0.6359193296104702,0.7544792833146696,0.6106956718785407,0.9868180153789821,0.29591836734693877
+ Additional,LightGBM,22,0.6479960654264092,0.7565096952908588,0.6083760302962798,1.0,0.2795918367346939
+ Demographics,LightGBM,88,0.7711315616813574,0.7909311740890689,0.7090592334494773,0.8941779567923838,0.3448979591836735
Baseline,LogisticRegression,14,0.6199847634966945,0.7559861591695501,0.6076991544281264,1.0,0.1
+ Additional,LogisticRegression,22,0.624263279964725,0.7559861591695501,0.6076991544281264,1.0,0.1
+ Demographics,LogisticRegression,88,0.7086672981978516,0.7623926472803978,0.647721454173067,0.9264005858659832,0.29591836734693877
