epoch,train_loss,val_f1,val_threshold
1,0.4848347559731503,0.7954258331518188,0.1489795918367347
2,0.46557797067772666,0.7913407155394717,0.42653061224489797
3,0.4622034470020554,0.794700751037925,0.5081632653061224
4,0.4580118336480531,0.7954258331518188,0.1326530612244898
5,0.45449845305648867,0.7958135860979463,0.1979591836734694
6,0.453520543742264,0.7900191763309287,0.37755102040816324
7,0.4529775107982421,0.7959420289855073,0.37755102040816324
8,0.45366058219366545,0.7950310559006211,0.2306122448979592
9,0.4519137476916815,0.7948521525969051,0.1163265306122449
10,0.45145925631463907,0.7961393388063013,0.2795918367346939
11,0.45162111376802844,0.8005364759685151,0.263265306122449
12,0.4502188425659454,0.7993864358496768,0.1489795918367347
13,0.45067121563790097,0.7938217751268584,0.2795918367346939
14,0.44778984149185563,0.7957189803712585,0.37755102040816324
15,0.44792305174088276,0.7920429146177916,0.2469387755102041
16,0.44804911237807193,0.7983818062541002,0.1163265306122449
