epoch,train_loss,val_f1,val_threshold
1,0.44302831701513046,0.8077529226354292,0.4591836734693878
2,0.41290562257169433,0.8128995595965336,0.4102040816326531
3,0.39934691217823165,0.8131411881140319,0.37755102040816324
4,0.38827570493363917,0.8244766505636071,0.4102040816326531
5,0.3780638341608686,0.8268833229171675,0.4102040816326531
6,0.3692692062616209,0.8315113319597625,0.36122448979591837
7,0.36204066625741527,0.8296701941340437,0.44285714285714284
8,0.35314973676296435,0.8311427207157397,0.44285714285714284
9,0.34699284321846635,0.8334759196819486,0.4102040816326531
10,0.34079724658148014,0.8346320773328073,0.36122448979591837
11,0.33463159468933906,0.8342552350849467,0.3938775510204082
12,0.330264970541378,0.8355467295519424,0.36122448979591837
13,0.3237170132076377,0.8367921731396383,0.3448979591836735
14,0.3197221771549637,0.8378939146142017,0.3122448979591837
15,0.31359594260408435,0.8350476383027117,0.4102040816326531
16,0.3106872223301268,0.8357497617017007,0.3938775510204082
17,0.30536949324927165,0.8409775190686472,0.4102040816326531
18,0.30195453739241784,0.8422623564526737,0.3938775510204082
19,0.2976763130580797,0.8407507500061984,0.3448979591836735
20,0.29459009410655024,0.8408307073915093,0.3938775510204082
21,0.2901397624994683,0.8432194826192401,0.3938775510204082
22,0.2860544141959679,0.8384910774791055,0.36122448979591837
23,0.2839435159641677,0.840744291227294,0.3122448979591837
24,0.28046036225366366,0.8425088330368106,0.3448979591836735
25,0.27734732721194993,0.8418035824583076,0.3122448979591837
26,0.2752521169339581,0.8441077773391236,0.3285714285714286
27,0.27251559576913625,0.8424002802662529,0.3448979591836735
28,0.2695296535349114,0.8396590624216596,0.36122448979591837
29,0.2661004839833783,0.8419474157752674,0.3285714285714286
30,0.263554001023258,0.8375396705455644,0.37755102040816324
