cluster_spectral_eucl,n_rows,n_unique_users,dropout_point_rate,non_dropout_point_rate,rows_per_user
0,4470,2981,0.5360178970917227,0.46398210290827735,1.4994968131499498
1,954,841,0.44339622641509435,0.5566037735849056,1.1343638525564803
2,607,589,0.48599670510708404,0.514003294892916,1.0305602716468591
3,1467,1197,0.4171779141104294,0.5828220858895705,1.2255639097744362
