experiment,n_features,demographics,drop_summer_test,roc_auc,f1,precision,recall,threshold,val_f1
all_weekly_features,17,False,False,0.8848601387472863,0.8224609155325611,0.7335975120385233,0.9358203224980803,0.42653061224489797,0.8275361266429453
all_weekly_features_no_summer_test,17,False,True,0.8333313413191922,0.8260263820957463,0.7466773847802787,0.92424543946932,0.42653061224489797,0.829371732912516
time_only,2,False,False,0.8182655546631493,0.7958954461915458,0.66205197893664,0.997568466854364,0.263265306122449,0.8005364759685151
weekly_features_with_demographics,17,True,False,0.9120451680420643,0.8411134411536584,0.7631757285096179,0.9367801382134631,0.3285714285714286,0.8441077773391236
